county,median_hh_income,median_hh_inc_moe,poverty_count,poverty_count_moe,poverty_rate,poverty_rate_moe,st_abb,year,state_fips,county_fips
Warren,61281,3861,5944,1401,1.25,5.4,NJ,2004,34,041
Atlantic,49662,2028,24852,3513,1.35,9.4,NJ,2005,34,001
Bergen,71253,1807,49098,5798,0.65,5.5,NJ,2005,34,003
Burlington,68517,2265,21553,3028,0.65,4.9,NJ,2005,34,005
Camden,53239,2101,60385,5787,1.15,11.9,NJ,2005,34,007
Cape May,50533,2094,8261,1400,1.45,8.6,NJ,2005,34,009
Cumberland,44398,2646,19443,2960,2.15,14.0,NJ,2005,34,011
Essex,48998,2275,111367,9255,1.20,14.5,NJ,2005,34,013
Gloucester,63616,3134,17654,2435,0.90,6.5,NJ,2005,34,015
Hudson,44123,2041,95968,10044,1.70,16.2,NJ,2005,34,017
Hunterdon,92754,4625,3185,610,0.50,2.5,NJ,2005,34,019
Mercer,63988,2648,29567,3569,1.00,8.6,NJ,2005,34,021
Middlesex,67902,1771,56246,7235,0.95,7.3,NJ,2005,34,023
Monmouth,74237,2615,38339,4729,0.75,6.1,NJ,2005,34,025
Morris,84101,2740,16396,2593,0.55,3.4,NJ,2005,34,027
Ocean,52090,1474,40176,4516,0.80,7.3,NJ,2005,34,029
Passaic,50943,1752,67911,7882,1.65,14.0,NJ,2005,34,031
Salem,52045,3175,6376,1085,1.65,9.8,NJ,2005,34,033
Somerset,87435,3714,12388,2078,0.65,3.9,NJ,2005,34,035
Sussex,74137,3785,6504,1107,0.70,4.3,NJ,2005,34,037
Union,61617,2705,46448,5853,1.10,8.9,NJ,2005,34,039
Warren,61040,1986,5987,1020,0.90,5.5,NJ,2005,34,041
Atlantic,51554,1924,25264,3456,1.30,9.5,NJ,2006,34,001
Bergen,75460,2381,47697,5516,0.60,5.3,NJ,2006,34,003
Burlington,67995,1958,25191,3271,0.75,5.8,NJ,2006,34,005
Camden,56676,1465,55170,4783,0.95,10.9,NJ,2006,34,007
Cape May,49265,2715,9061,1630,1.70,9.5,NJ,2006,34,009
Cumberland,45667,2731,21942,2758,1.95,15.4,NJ,2006,34,011
Essex,51739,1138,110167,9237,1.20,14.4,NJ,2006,34,013
Gloucester,66067,3111,18665,2409,0.85,6.7,NJ,2006,34,015
Hudson,48352,2231,89081,7278,1.25,15.0,NJ,2006,34,017
Hunterdon,93556,4659,4159,769,0.60,3.3,NJ,2006,34,019
Mercer,64930,2657,30277,4293,1.25,8.7,NJ,2006,34,021
Middlesex,72175,2124,54167,5902,0.75,7.1,NJ,2006,34,023
Monmouth,76876,2188,37176,4296,0.65,5.9,NJ,2006,34,025
Morris,89464,3353,19660,2990,0.65,4.1,NJ,2006,34,027
Ocean,54771,1629,47029,5358,1.00,8.5,NJ,2006,34,029
Passaic,50193,1732,69996,7746,1.55,14.3,NJ,2006,34,031
Salem,54748,3984,6283,1133,1.70,9.6,NJ,2006,34,033
Somerset,91177,2901,14311,2489,0.80,4.5,NJ,2006,34,035
Sussex,78050,3138,7032,1226,0.80,4.6,NJ,2006,34,037
Union,62001,1858,41818,4709,0.90,8.0,NJ,2006,34,039
Warren,63037,3392,6575,1172,1.10,6.0,NJ,2006,34,041
Atlantic,54340,2663,31488,4159,1.60,11.9,NJ,2007,34,001
Bergen,80063,2546,51880,6460,0.75,5.9,NJ,2007,34,003
Burlington,73083,2433,21750,3012,0.70,5.0,NJ,2007,34,005
Camden,58541,2613,53434,5542,1.10,10.6,NJ,2007,34,007
Cape May,51356,2491,8392,1308,1.40,8.9,NJ,2007,34,009
Cumberland,46482,2940,24969,3531,2.45,17.4,NJ,2007,34,011
Essex,53319,1610,100208,8307,1.10,13.3,NJ,2007,34,013
Gloucester,70119,2729,21478,2760,0.95,7.6,NJ,2007,34,015
Hudson,51247,1532,81698,7686,1.30,13.9,NJ,2007,34,017
Hunterdon,100089,3943,4642,726,0.60,3.7,NJ,2007,34,019
Mercer,69139,3535,32206,4502,1.30,9.3,NJ,2007,34,021
Middlesex,75069,1873,50917,5787,0.75,6.6,NJ,2007,34,023
Monmouth,78173,1975,38874,3930,0.65,6.1,NJ,2007,34,025
Morris,94556,2594,19721,3483,0.70,4.1,NJ,2007,34,027
Ocean,56243,1444,46853,5530,1.00,8.4,NJ,2007,34,029
Passaic,54207,2810,64765,7826,1.60,13.4,NJ,2007,34,031
Salem,54588,3936,6636,1291,2.00,10.2,NJ,2007,34,033
Somerset,96792,3894,10674,1787,0.55,3.3,NJ,2007,34,035
Sussex,78713,4283,6911,1216,0.80,4.6,NJ,2007,34,037
Union,61587,1510,41463,4807,0.90,8.0,NJ,2007,34,039
Warren,66237,3612,6764,1135,1.05,6.2,NJ,2007,34,041
Atlantic,52409,2221,29498,3720,1.45,11.1,NJ,2008,34,001
Bergen,82136,1974,47293,5290,0.60,5.3,NJ,2008,34,003
Burlington,76869,2411,23326,2897,0.70,5.4,NJ,2008,34,005
Camden,60746,1666,56871,5589,1.10,11.2,NJ,2008,34,007
Cape May,54423,4260,8300,1483,1.60,8.9,NJ,2008,34,009
Cumberland,49720,2415,19360,2387,1.65,13.4,NJ,2008,34,011
Essex,54694,2551,108608,9504,1.25,14.5,NJ,2008,34,013
Gloucester,70273,3209,19438,2760,0.95,6.9,NJ,2008,34,015
Hudson,54800,1798,87699,7630,1.30,14.9,NJ,2008,34,017
