State,county,year,violent_crime,murder,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,frm_30,points_30,frm_15,points_15,median_hh_income,median_hh_inc_moe,poverty_count,poverty_count_moe,poverty_rate,poverty_rate_moe,county_fips,price,Price_Difference
New Jersey,Middlesex,2015,0,0,0,0,0,0,0,0,0,0,3.850576923,0.615384615,3.0875,0.576923077,78249,3131,69660,8196,1,8.5,23,313988.83,6682.16
New Jersey,Middlesex,2016,0,0,0,0,0,0,0,0,0,0,3.654038462,0.530769231,2.930769231,0.492307692,82183,2111,69642,6729,0.8,8.6,23,312580,-1408.83
New Jersey,Middlesex,2017,0,0,0,0,0,0,0,0,0,0,3.989807692,0.498076923,3.2725,0.490384615,85187,1841,69518,6878,0.8,8.5,23,326545.75,13965.75
New Jersey,Middlesex,2018,0,0,0,0,0,0,0,0,0,0,4.544615385,0.484615385,4.000192308,0.45,87666,3090,65823,7524,0.9,8.2,23,342557.75,16012
New Jersey,Middlesex,2019,0,0,0,0,0,0,0,0,0,0,3.935769231,0.521153846,3.391730769,0.475,92770,3290,68514,7328,0.9,8.5,23,347639.83,5082.08
New Jersey,Monmouth,2012,0,0,0,0,0,0,0,0,0,0,3.6575,0.717307692,2.934423077,0.684615385,81190,1653,45472,5383,0.9,7.3,25,358180.5,
New Jersey,Monmouth,2013,0,0,0,0,0,0,0,0,0,0,3.975576923,0.732692308,3.100769231,0.7,83424,2338,48548,5506,0.9,7.8,25,369553.5,11373
New Jersey,Monmouth,2014,1,0,0,0,1,1,1,0,0,0,4.168867925,0.59245283,3.286037736,0.571698113,87220,3758,51001,5501,0.9,8.2,25,388927.42,19373.92
New Jersey,Monmouth,2015,3,0,0,0,3,2,1,1,0,0,3.850576923,0.615384615,3.0875,0.576923077,86722,3242,46641,5557,0.9,7.5,25,392619.58,3692.16
New Jersey,Monmouth,2016,2,0,0,0,2,1,0,1,0,0,3.654038462,0.530769231,2.930769231,0.492307692,89968,3263,43866,5529,0.9,7.1,25,397709.25,5089.67
New Jersey,Monmouth,2017,4,0,1,0,3,1,0,1,0,0,3.989807692,0.498076923,3.2725,0.490384615,97627,2987,45085,5406,0.9,7.3,25,410241.58,12532.33
New Jersey,Monmouth,2018,8,0,0,0,8,0,0,0,0,0,4.544615385,0.484615385,4.000192308,0.45,99223,2643,41380,5808,0.9,6.7,25,431517.67,21276.09
