county_name,district_code,district_name,general_tax_rate,effective_tax_rate
GLOUCESTER,0813,NEWFIELD BORO,3.722,3.608371275051545
GLOUCESTER,0814,PAULSBORO BORO,4.206,4.208832968652486
GLOUCESTER,0815,PITMAN BORO,4.430000000000001,4.040632212651711
GLOUCESTER,0816,SO HARRISON TWP,2.913,2.762951789109985
GLOUCESTER,0817,SWEDESBORO BORO,4.0600000000000005,3.833811231573636
GLOUCESTER,0818,WASHINGTON TWP,3.242,3.1416073841154053
GLOUCESTER,0819,WENONAH BORO,4.213,4.158652084371482
GLOUCESTER,0820,WEST DEPTFORD TWP,3.411,3.1196375682674407
GLOUCESTER,0821,WESTVILLE BORO,4.662,4.524661197913035
GLOUCESTER,0822,WOODBURY CITY,4.938000000000001,4.454762349919368
GLOUCESTER,0823,WOODBURY HEIGHTS BORO,4.593,4.259588249846875
GLOUCESTER,0824,WOOLWICH TWP,3.431,3.423397073633024
HUDSON,0901,BAYONNE CITY,2.566,2.6048056769519143
HUDSON,0902,EAST NEWARK BORO,2.6069999999999998,1.9607747956776154
HUDSON,0903,GUTTENBERG TOWN,3.8609999999999998,2.54853269233692
HUDSON,0904,HARRISON TOWN,2.28,2.2607829273526767
HUDSON,0905,HOBOKEN CITY,1.611,1.0648637314391896
HUDSON,0906,JERSEY CITY CITY,1.6099999999999999,1.4010353864270668
HUDSON,0907,KEARNY TOWN,10.49,2.62229462535959
HUDSON,0908,NORTH BERGEN TWP,5.732,2.209497899891906
HUDSON,0909,SECAUCUS TOWN,3.7359999999999998,1.8981318003861194
HUDSON,0910,UNION CITY CITY,7.301,2.4994323429401994
HUDSON,0911,WEEHAWKEN TWP,1.7369999999999999,1.7440899300510742
HUDSON,0912,WEST NEW YORK TOWN,7.635000000000001,2.078431392387615
HUNTERDON,1001,ALEXANDRIA TWP,2.667,2.428610798036827
HUNTERDON,1002,BETHLEHEM TWP,2.995,2.7769958163758544
HUNTERDON,1003,BLOOMSBURY BORO,3.134,2.899028699643673
HUNTERDON,1004,CALIFON BORO,3.505,3.3884008594298005
HUNTERDON,1005,CLINTON TOWN,3.233,3.058133070313961
HUNTERDON,1006,CLINTON TWP,2.695,2.5169983702359047
HUNTERDON,1007,DELAWARE TWP,2.5829999999999997,2.358900407485431
HUNTERDON,1008,EAST AMWELL TWP,2.499,2.1892647312079276
HUNTERDON,1009,FLEMINGTON BORO,3.178,3.132962794541176
HUNTERDON,1010,FRANKLIN TWP,2.666,2.5647504687875258
HUNTERDON,1011,FRENCHTOWN BORO,3.5789999999999997,3.1080842828844935
HUNTERDON,1012,GLEN GARDNER BORO,3.4339999999999997,2.824906439053773
HUNTERDON,1013,HAMPTON BORO,3.84,3.673822384915221
